State,Group,Cases,Deaths,Population
Delaware,LatinX,0.258642407,0.067357513,0.09
Florida,LatinX,0.247735664,0.243134628,0.26
Georgia,LatinX,0.132721654,0.058604917,0.1
Guam,LatinX,0,0,
Hawaii,LatinX,0,0,0.1
Iowa,LatinX,0,0,0.06
Idaho,LatinX,0,0,0.13
Illinois,LatinX,0.302178773,0.202898551,0.17
Indiana,LatinX,0,0,0.07
Kansas,LatinX,0,0,0.12
Kentucky,LatinX,0,0,0.04
Louisiana,LatinX,0,0,0.05
Massachusetts,LatinX,0.195145153,0.069644741,0.12
Maryland,LatinX,0.251134355,0.114244186,0.1
Maine,LatinX,0,0,0.02
Michigan,LatinX,0,0,0.05
Minnesota,LatinX,0,0,0.05
Missouri,LatinX,0,0,0.04
Northern Mariana Islands,LatinX,0,0,
Mississippi,LatinX,0.035389263,0.016053512,0.03
Montana,LatinX,0,0,0.04
North Carolina,LatinX,0,0,0.1
North Dakota,LatinX,0,0,0.04
Nebraska,LatinX,0,0,0.11
New Hampshire,LatinX,0.109850839,0.026894866,0.04
New Jersey,LatinX,0.184073638,0.174320644,0.21
New Mexico,LatinX,0.391292931,0.096091205,0.49
Nevada,LatinX,0.203790584,0.148501362,0.29
New York,LatinX,0,0.236857963,0.19
Ohio,LatinX,0,0,0.04
Oklahoma,LatinX,0,0,0.11
Oregon,LatinX,0,0,0.13
Pennsylvania,LatinX,0,0,0.08
Puerto Rico,LatinX,0,0,0.99
Rhode Island,LatinX,0.338619403,0.084830339,0.16
South Carolina,LatinX,0,0,0.06
South Dakota,LatinX,0.139964264,0,0.04
Tennessee,LatinX,0,0,0.05
Texas,LatinX,0.034009684,0.047042477,0.4
United States,LatinX,0.136948166,0.141476435,0.18
Utah,LatinX,0.388407553,0.237226277,0.14
Virginia,LatinX,0.300318091,0.110683349,0.1
Virgin Islands,LatinX,0,0,
Vermont,LatinX,0,0,0.02
Washington,LatinX,0.288819227,0.133244504,0.13
Wisconsin,LatinX,0,0,0.07
West Virginia,LatinX,0,0,0.01
Wyoming,LatinX,0.126060606,0.08,0.1
Alaska,Asian,0.031299525,0.1,0.06
Alabama,Asian,0.00360683,0.002715547,0.01
Arkansas,Asian,0.014525024,0.014962594,0.02
American Samoa,Asian,,,
Arizona,Asian,0.0073327,0.010590015,0.03
California,Asian,0.035467168,0.125475285,0.15
Colorado,Asian,0.019216889,0.031908489,0.03
Connecticut,Asian,0.014289815,0.010876954,0.05
District of Columbia,Asian,0.015534805,0.013769363,0.04
Delaware,Asian,0.013995801,0.001727116,0.04
Florida,Asian,0,0,0.03
Georgia,Asian,0.01205099,0.016866781,0.04
Guam,Asian,0.37388724,0,
Hawaii,Asian,0.251931075,0,0.38
Iowa,Asian,0.049502628,0.028985507,0.03
Idaho,Asian,0.008307201,0.01369863,0.02
Illinois,Asian,0.026577323,0.046508564,0.06
Indiana,Asian,0.013002629,0.004822597,0.02
Kansas,Asian,0.036361464,0.027607362,0.03
Kentucky,Asian,0.018095203,0.011428571,0.01
Louisiana,Asian,0.04148772,0.006112145,0.02
Massachusetts,Asian,0.021031331,0.025677102,0.07
Maryland,Asian,0.019069112,0.038081395,0.06
Maine,Asian,0.026481384,0,0.01
Michigan,Asian,0.019778216,0.01234375,0.03
Minnesota,Asian,0.064062714,0.043370508,0.05
Missouri,Asian,0,0,0.02
Northern Mariana Islands,Asian,0,0,
Mississippi,Asian,0.003154634,0,0.01
Montana,Asian,0.002692998,0,0.01
North Carolina,Asian,0.012491904,0.014565826,0.03
North Dakota,Asian,0,0,0.02
Nebraska,Asian,0.052806889,0.056962025,0.02
New Hampshire,Asian,0.026569298,0.009779951,0.03
New Jersey,Asian,0.030647346,0.047507443,0.1
New Mexico,Asian,0.006459406,0.001628664,0.02
Nevada,Asian,0.044558037,0.113079019,0.08
New York,Asian,0,0.059763922,0.09
Ohio,Asian,0.026405624,0.010885999,0.02
Oklahoma,Asian,0.052325396,0.024193548,0.02
Oregon,Asian,0.03031388,0.041522491,0.05
Pennsylvania,Asian,0.01396323,0.021213824,0.04
Puerto Rico,Asian,0,0,
Rhode Island,Asian,0,0,0.03
South Carolina,Asian,0.007241468,0.00804829,0.02
South Dakota,Asian,0.085646218,0,0.01
Tennessee,Asian,0.0095597,0.015511892,0.02
Texas,Asian,0.00178957,0.003175863,0.05
United States,Asian,0.016968951,0.037325279,0.06
Utah,Asian,0.021804967,0.054744526,0.02
Virginia,Asian,0.030342805,0.057747834,0.07
Virgin Islands,Asian,0,0,
Vermont,Asian,0.037857143,0.035714286,0.02
Washington,Asian,0.034805738,0.083277815,0.09
Wisconsin,Asian,0.031529992,0.028921023,0.03
West Virginia,Asian,0,0,0.01
Wyoming,Asian,0.004848485,0,0.01
Alaska,American Indialaska Native,0.125990491,0.25,0.16
Alabama,American Indialaska Native,0,0,0.001
Arkansas,American Indialaska Native,0.002925718,0.004987531,0.01
American Samoa,American Indialaska Native,,,
Arizona,American Indialaska Native,0.058285086,0.126172466,0.04
California,American Indialaska Native,0.001459246,0.00368346,0.001
Colorado,American Indialaska Native,0.004826777,0.006622517,0.001
Connecticut,American Indialaska Native,0.000902083,0.000453206,0.001
District of Columbia,American Indialaska Native,0.00237691,0,
Delaware,American Indialaska Native,0,0,0.001
Florida,American Indialaska Native,0,0,0.001
Georgia,American Indialaska Native,0.000571588,0.001143511,0.001
Guam,American Indialaska Native,0,0,
Hawaii,American Indialaska Native,0,0,
Iowa,American Indialaska Native,0.009900526,0.009661836,0.001
Idaho,American Indialaska Native,0.006711779,0.01369863,0.01
Illinois,American Indialaska Native,0.001355218,0.001317523,0.001
Indiana,American Indialaska Native,0,0,0.001
Kansas,American Indialaska Native,0.006770481,0.009202454,0.01
Kentucky,American Indialaska Native,0.003028177,0,0.001
Louisiana,American Indialaska Native,0.002017216,0.001062982,0.01
Massachusetts,American Indialaska Native,0,0,0.001
Maryland,American Indialaska Native,0,0,0.001
Maine,American Indialaska Native,0.001573152,0,0.001
Michigan,American Indialaska Native,0.003796402,0.00296875,0.001
Minnesota,American Indialaska Native,0.008406154,0.019206939,0.01
Missouri,American Indialaska Native,0,0,0.001
Northern Mariana Islands,American Indialaska Native,0,0,
Mississippi,American Indialaska Native,0.022713368,0.05083612,0.001
Montana,American Indialaska Native,0.118192699,0.217391304,0.06
North Carolina,American Indialaska Native,0.009785916,0.014565826,0.01
North Dakota,American Indialaska Native,0,0,0.05
Nebraska,American Indialaska Native,0.011008205,0.028481013,0.01
New Hampshire,American Indialaska Native,0,0,
New Jersey,American Indialaska Native,0,0,0.001
New Mexico,American Indialaska Native,0.385988867,0.384364821,0.09
Nevada,American Indialaska Native,0.002987653,0.005449591,0.01
New York,American Indialaska Native,0,0,0.001
Ohio,American Indialaska Native,0.001260809,0.000302389,0.001
Oklahoma,American Indialaska Native,0.082883171,0.088709677,0.08
Oregon,American Indialaska Native,0.022974102,0.010380623,0.01
Pennsylvania,American Indialaska Native,0,0,0.001
Puerto Rico,American Indialaska Native,0,0,
Rhode Island,American Indialaska Native,0,0,
South Carolina,American Indialaska Native,0,0,0.001
South Dakota,American Indialaska Native,0.162001191,0,0.09
Tennessee,American Indialaska Native,0.001181656,0.002068252,0.001
Texas,American Indialaska Native,0,0,0.001
United States,American Indialaska Native,0.007185011,0.007276814,0.01
Utah,American Indialaska Native,0.021515287,0.076642336,0.01
Virginia,American Indialaska Native,0.001170669,0.000962464,0.001
Virgin Islands,American Indialaska Native,0,0,
Vermont,American Indialaska Native,0.001428571,0,0.001
Washington,American Indialaska Native,0.011608245,0.021985343,0.01
Wisconsin,American Indialaska Native,0.009643128,0.011123471,0.01
West Virginia,American Indialaska Native,0,0,0.001
Wyoming,American Indialaska Native,0.153131313,0.4,0.02
Alaska,Native Hawaiian/Other Pacific Islander,0.036450079,0.05,0.01
Alabama,Native Hawaiian/Other Pacific Islander,0,0,
Arkansas,Native Hawaiian/Other Pacific Islander,0.053646791,0.074812968,0.001
American Samoa,Native Hawaiian/Other Pacific Islander,,,
Arizona,Native Hawaiian/Other Pacific Islander,0,0,0.001
California,Native Hawaiian/Other Pacific Islander,0.003831071,0.005346958,0.001
Colorado,Native Hawaiian/Other Pacific Islander,0.002954709,0.003010235,0.001
Connecticut,Native Hawaiian/Other Pacific Islander,0,0,
District of Columbia,Native Hawaiian/Other Pacific Islander,0.002631579,0,
Delaware,Native Hawaiian/Other Pacific Islander,0,0,
Florida,Native Hawaiian/Other Pacific Islander,0,0,0.001
Georgia,Native Hawaiian/Other Pacific Islander,0.001012188,0.002001144,0.001
Guam,Native Hawaiian/Other Pacific Islander,0.379821958,0,
Hawaii,Native Hawaiian/Other Pacific Islander,0.278074866,0,0.1
Iowa,Native Hawaiian/Other Pacific Islander,0.009900526,0.009661836,
Idaho,Native Hawaiian/Other Pacific Islander,0.002860758,0,
Illinois,Native Hawaiian/Other Pacific Islander,0.002339777,0.001185771,0.001
Indiana,Native Hawaiian/Other Pacific Islander,0,0,
Kansas,Native Hawaiian/Other Pacific Islander,0,0,
Kentucky,Native Hawaiian/Other Pacific Islander,0.001366372,0,
Louisiana,Native Hawaiian/Other Pacific Islander,0.001069032,0.001328727,
Massachusetts,Native Hawaiian/Other Pacific Islander,0,0,
Maryland,Native Hawaiian/Other Pacific Islander,0,0,
Maine,Native Hawaiian/Other Pacific Islander,0.000524384,0,
Michigan,Native Hawaiian/Other Pacific Islander,0,0,
Minnesota,Native Hawaiian/Other Pacific Islander,0.00218951,0.001858736,
Missouri,Native Hawaiian/Other Pacific Islander,0,0,0.001
Northern Mariana Islands,Native Hawaiian/Other Pacific Islander,0,0,
Mississippi,Native Hawaiian/Other Pacific Islander,0,0,
Montana,Native Hawaiian/Other Pacific Islander,0,0,
North Carolina,Native Hawaiian/Other Pacific Islander,0.001934116,0.001680672,0.001
North Dakota,Native Hawaiian/Other Pacific Islander,0,0,
Nebraska,Native Hawaiian/Other Pacific Islander,0.001340483,0,
New Hampshire,Native Hawaiian/Other Pacific Islander,0,0,
New Jersey,Native Hawaiian/Other Pacific Islander,0,0,
New Mexico,Native Hawaiian/Other Pacific Islander,0,0,
Nevada,Native Hawaiian/Other Pacific Islander,0,0,0.01
New York,Native Hawaiian/Other Pacific Islander,0,0,
Ohio,Native Hawaiian/Other Pacific Islander,0.001831741,0.000302389,
Oklahoma,Native Hawaiian/Other Pacific Islander,0,0,0.001
Oregon,Native Hawaiian/Other Pacific Islander,0.022974102,0.020761246,0.001
Pennsylvania,Native Hawaiian/Other Pacific Islander,0,0,
Puerto Rico,Native Hawaiian/Other Pacific Islander,0,0,
Rhode Island,Native Hawaiian/Other Pacific Islander,0,0,
South Carolina,Native Hawaiian/Other Pacific Islander,0,0,
South Dakota,Native Hawaiian/Other Pacific Islander,0,0,
